Utterances;Intent;Focusarea
sweet;smalltalk_appraisal_good;
really well;smalltalk_appraisal_good;
very well;smalltalk_appraisal_good;
that is awesome;smalltalk_appraisal_good;that
that is nice;smalltalk_appraisal_good;that
that is wonderful;smalltalk_appraisal_good;that
that was amazing;smalltalk_appraisal_good;that
that was awesome;smalltalk_appraisal_good;that
that was cute;smalltalk_appraisal_good;that
that was pretty good;smalltalk_appraisal_good;that
that was very good;smalltalk_appraisal_good;that
that's a good idea;smalltalk_appraisal_good;that
that's a good thing;smalltalk_appraisal_good;that
that's amazing;smalltalk_appraisal_good;that
that's awesome thank you;smalltalk_appraisal_good;that
that's better;smalltalk_appraisal_good;that
that's cute;smalltalk_appraisal_good;that
that's fantastic;smalltalk_appraisal_good;that
that's much better;smalltalk_appraisal_good;that
that's nice of you;smalltalk_appraisal_good;that
that's not bad;smalltalk_appraisal_good;that
that's perfect;smalltalk_appraisal_good;that
that's pretty good;smalltalk_appraisal_good;that
that's really good;smalltalk_appraisal_good;that
that's really nice;smalltalk_appraisal_good;that
that's sweet of you;smalltalk_appraisal_good;that
that's very nice;smalltalk_appraisal_good;that
that's wonderful;smalltalk_appraisal_good;that
this is awesome;smalltalk_appraisal_good;this
this is good;smalltalk_appraisal_good;this
this is great;smalltalk_appraisal_good;this
very nice;smalltalk_appraisal_good;
very then;smalltalk_appraisal_good;
wonderful;smalltalk_appraisal_good;
I'm glad to hear that;smalltalk_appraisal_good;i
ok good;smalltalk_appraisal_good;
good for you;smalltalk_appraisal_good;you
good to know;smalltalk_appraisal_good;
glad to hear it;smalltalk_appraisal_good;
so good;smalltalk_appraisal_good;
so sweet of you;smalltalk_appraisal_good;you
it was good;smalltalk_appraisal_good;it
oh well;smalltalk_appraisal_good;
good thing;smalltalk_appraisal_good;
that was good;smalltalk_appraisal_good;that
it's awesome;smalltalk_appraisal_good;it
okay good;smalltalk_appraisal_good;
no it's okay;smalltalk_appraisal_good;it
no worries;smalltalk_appraisal_no_problem;
no probs;smalltalk_appraisal_no_problem;
no problem;smalltalk_appraisal_no_problem;
there's no problem;smalltalk_appraisal_no_problem;there
sure no problem;smalltalk_appraisal_no_problem;
no problem about that;smalltalk_appraisal_no_problem;that
don't worry;smalltalk_appraisal_no_problem;
don't worry there's no problem;smalltalk_appraisal_no_problem;there
you helped a lot thank you;smalltalk_appraisal_thank_you;you
appreciate your help;smalltalk_appraisal_thank_you;your
cheers;smalltalk_appraisal_thank_you;
thank you;smalltalk_appraisal_thank_you;you
thanks;smalltalk_appraisal_thank_you;
thanks a lot;smalltalk_appraisal_thank_you;
terrific thank you;smalltalk_appraisal_thank_you;you
great thank you;smalltalk_appraisal_thank_you;you
thanks so much;smalltalk_appraisal_thank_you;
thank you so much;smalltalk_appraisal_thank_you;you
thanks for your help;smalltalk_appraisal_thank_you;you
thank you for your help;smalltalk_appraisal_thank_you;your
nice thank you;smalltalk_appraisal_thank_you;you
I appreciate it;smalltalk_appraisal_thank_you;i
I thank you;smalltalk_appraisal_thank_you;i
thank you that will be all;smalltalk_appraisal_thank_you;you
thanks buddy;smalltalk_appraisal_thank_you;you
thanks love;smalltalk_appraisal_thank_you;you
thank you my friend;smalltalk_appraisal_thank_you;you
well thanks;smalltalk_appraisal_thank_you;
very good thank you;smalltalk_appraisal_thank_you;you
good thanks;smalltalk_appraisal_thank_you;
thanks again;smalltalk_appraisal_thank_you;
thank you again;smalltalk_appraisal_thank_you;you
all thank you;smalltalk_appraisal_thank_you;you
alright thank you;smalltalk_appraisal_thank_you;you
alright thanks;smalltalk_appraisal_thank_you;
no thank you that's all;smalltalk_appraisal_thank_you;you
perfect thank you;smalltalk_appraisal_thank_you;you
so nice of you;smalltalk_appraisal_thank_you;you
well thank you;smalltalk_appraisal_thank_you;you
thnx;smalltalk_appraisal_thank_you;
thanx;smalltalk_appraisal_thank_you;
that's my pleasure;smalltalk_appraisal_welcome;my
my pleasure;smalltalk_appraisal_welcome;my
anytime;smalltalk_appraisal_welcome;
welcome;smalltalk_appraisal_welcome;
you're welcome;smalltalk_appraisal_welcome;you're
sure welcome;smalltalk_appraisal_welcome;
welcome here;smalltalk_appraisal_welcome;
you're so welcome;smalltalk_appraisal_welcome;you're
anything you want;smalltalk_appraisal_welcome;you
good job;smalltalk_appraisal_well_done;
great job;smalltalk_appraisal_well_done;
way to go;smalltalk_appraisal_well_done;
well done;smalltalk_appraisal_well_done;
nice work;smalltalk_appraisal_well_done;
great work;smalltalk_appraisal_well_done;
amazing work;smalltalk_appraisal_well_done;
bravo;smalltalk_appraisal_well_done;
good work;smalltalk_appraisal_well_done;
cancel;smalltalk_confirmation_cancel;
abort;smalltalk_confirmation_cancel;
annul;smalltalk_confirmation_cancel;
cancel it;smalltalk_confirmation_cancel;it
cancel request;smalltalk_confirmation_cancel;
cancelled;smalltalk_confirmation_cancel;
dismiss;smalltalk_confirmation_cancel;
dismissed;smalltalk_confirmation_cancel;
disregard;smalltalk_confirmation_cancel;
disregard that;smalltalk_confirmation_cancel;that
skip;smalltalk_confirmation_cancel;
skip it;smalltalk_confirmation_cancel;it
cancel everything;smalltalk_confirmation_cancel;
cancel all;smalltalk_confirmation_cancel;
forget about it;smalltalk_confirmation_cancel;it
forget;smalltalk_confirmation_cancel;
don't do that;smalltalk_confirmation_cancel;that
stop;smalltalk_confirmation_cancel;
just forget it;smalltalk_confirmation_cancel;it
forget that;smalltalk_confirmation_cancel;that
discard;smalltalk_confirmation_cancel;
forget this;smalltalk_confirmation_cancel;this
just forget about it;smalltalk_confirmation_cancel;it
forget about that;smalltalk_confirmation_cancel;that
i said cancel;smalltalk_confirmation_cancel;i
just cancel it;smalltalk_confirmation_cancel;it
nothing cancel;smalltalk_confirmation_cancel;
just stop it;smalltalk_confirmation_cancel;it
no cancel cancel;smalltalk_confirmation_cancel;
no just cancel;smalltalk_confirmation_cancel;
cancel my request;smalltalk_confirmation_cancel;my
can you cancel that;smalltalk_confirmation_cancel;that
cancel all that;smalltalk_confirmation_cancel;that
cancel this request;smalltalk_confirmation_cancel;this
no cancel this;smalltalk_confirmation_cancel;this
no cancel everything;smalltalk_confirmation_cancel;
no stop;smalltalk_confirmation_cancel;
just forget;smalltalk_confirmation_cancel;
i want to cancel;smalltalk_confirmation_cancel;i
nevermind forget about it;smalltalk_confirmation_cancel;it
no just cancel it;smalltalk_confirmation_cancel;it
nothing just forget it;smalltalk_confirmation_cancel;it
i said cancel it;smalltalk_confirmation_cancel;it
cancel the whole thing;smalltalk_confirmation_cancel;thing
can you cancel it;smalltalk_confirmation_cancel;it
so cancel;smalltalk_confirmation_cancel;
i said forget it;smalltalk_confirmation_cancel;it
cancel all this;smalltalk_confirmation_cancel;this
forget it nevermind;smalltalk_confirmation_cancel;it
stop it;smalltalk_confirmation_cancel;it
i want to cancel it;smalltalk_confirmation_cancel;it
i would like to cancel;smalltalk_confirmation_cancel;i
now cancel;smalltalk_confirmation_cancel;that
cancel now;smalltalk_confirmation_cancel;
sorry cancel;smalltalk_confirmation_cancel;
cancel that one;smalltalk_confirmation_cancel;
skip skip skip;smalltalk_confirmation_cancel;
cancel it cancel it;smalltalk_confirmation_cancel;it
cancel that cancel that;smalltalk_confirmation_cancel;that
do nothing;smalltalk_confirmation_cancel;
I said cancel cancel;smalltalk_confirmation_cancel;i
but can you cancel it;smalltalk_confirmation_cancel;you
how about no;smalltalk_confirmation_no;
don t have a sense;smalltalk_confirmation_no;
no;smalltalk_confirmation_no;n
don't;smalltalk_confirmation_no;n
I don't want that;smalltalk_confirmation_no;that
I disagree;smalltalk_confirmation_no;i
disagree;smalltalk_confirmation_no;n
I don't want;smalltalk_confirmation_no;i
not interested;smalltalk_confirmation_no;n
I don't think so;smalltalk_confirmation_no;i
no way;smalltalk_confirmation_no;n
no it isn't;smalltalk_confirmation_no;it
no I don't;smalltalk_confirmation_no;i
I'm not;smalltalk_confirmation_no;i
na;smalltalk_confirmation_no;n
no that's fine thank you;smalltalk_confirmation_no;that
never;smalltalk_confirmation_no;n
I said no;smalltalk_confirmation_no;i
of course not;smalltalk_confirmation_no;n
nah;smalltalk_confirmation_no;n
no tanks;smalltalk_confirmation_no;n
no never;smalltalk_confirmation_no;n
no need;smalltalk_confirmation_no;n
no thanks;smalltalk_confirmation_no;n
no sorry;smalltalk_confirmation_no;n
do not;smalltalk_confirmation_no;n
not today;smalltalk_confirmation_no;n
no it's not;smalltalk_confirmation_no;it
absolutely not;smalltalk_confirmation_no;n
not that;smalltalk_confirmation_no;that
nooo;smalltalk_confirmation_no;n
nope;smalltalk_confirmation_no;n
I don't want to;smalltalk_confirmation_no;i
no I would not;smalltalk_confirmation_no;i
let 's not;smalltalk_confirmation_no;n
not needed;smalltalk_confirmation_no;n
not this time;smalltalk_confirmation_no;this
no don't do that;smalltalk_confirmation_no;that
thanks but no thanks;smalltalk_confirmation_no;n
no that's wrong;smalltalk_confirmation_no;that
not this;smalltalk_confirmation_no;this
definitely not;smalltalk_confirmation_no;n
not at this time;smalltalk_confirmation_no;n
not exactly;smalltalk_confirmation_no;n
no don't;smalltalk_confirmation_no;n
not really no;smalltalk_confirmation_no;n
no thank you not right now;smalltalk_confirmation_no;you
actually no;smalltalk_confirmation_no;n
no leave it;smalltalk_confirmation_no;it
sorry no;smalltalk_confirmation_no;n
no incorrect;smalltalk_confirmation_no;n
nope sorry;smalltalk_confirmation_no;n
I say no;smalltalk_confirmation_no;i
not really;smalltalk_confirmation_no;n
not right now thanks;smalltalk_confirmation_no;n
I think no;smalltalk_confirmation_no;i
absolutely no;smalltalk_confirmation_no;n
no actually;smalltalk_confirmation_no;n
apparently not;smalltalk_confirmation_no;n
no do not;smalltalk_confirmation_no;n
no just no;smalltalk_confirmation_no;n
no but thank you;smalltalk_confirmation_no;you
no need thanks;smalltalk_confirmation_no;n
no thank you though;smalltalk_confirmation_no;you
no thank you very much;smalltalk_confirmation_no;you
no thanks not right now;smalltalk_confirmation_no;n
no forget;smalltalk_confirmation_no;n
wait a second;smalltalk_dialog_hold_on;
could you wait;smalltalk_dialog_hold_on;you
wait please;smalltalk_dialog_hold_on;
hold on;smalltalk_dialog_hold_on;
wait;smalltalk_dialog_hold_on;
oh wait;smalltalk_dialog_hold_on;
wait hold on;smalltalk_dialog_hold_on;
don't rush;smalltalk_dialog_hold_on;
wanna hug;smalltalk_dialog_hug;
hug you;smalltalk_dialog_hug;you
do you want a hug;smalltalk_dialog_hug;you
may I hug you;smalltalk_dialog_hug;i
could you give me a hug;smalltalk_dialog_hug;you
I want a hug;smalltalk_dialog_hug;i
hug;smalltalk_dialog_hug;
hug me;smalltalk_dialog_hug;me
hugged;smalltalk_dialog_hug;
you hugged;smalltalk_dialog_hug;you
hugging;smalltalk_dialog_hug;
hugging me;smalltalk_dialog_hug;me
hugged me;smalltalk_dialog_hug;me
want a hug;smalltalk_dialog_hug;
a hug;smalltalk_dialog_hug;
I don't care;smalltalk_dialog_i_do_not_care;i
I shouldn't care about this;smalltalk_dialog_i_do_not_care;i
whatever;smalltalk_dialog_i_do_not_care;
I do not care;smalltalk_dialog_i_do_not_care;i
I don't care at all;smalltalk_dialog_i_do_not_care;i
not caring;smalltalk_dialog_i_do_not_care;
not care at all;smalltalk_dialog_i_do_not_care;
don't care at all;smalltalk_dialog_i_do_not_care;
not caring at all;smalltalk_dialog_i_do_not_care;
excuse me;smalltalk_dialog_sorry;me
apologise;smalltalk_dialog_sorry;
I apologize;smalltalk_dialog_sorry;i
sorry;smalltalk_dialog_sorry;
I'm sorry;smalltalk_dialog_sorry;i
I am so sorry;smalltalk_dialog_sorry;i
my apologies;smalltalk_dialog_sorry;my
apologies;smalltalk_dialog_sorry;
apologies to me;smalltalk_dialog_sorry;me
apology;smalltalk_dialog_sorry;
excuse;smalltalk_dialog_sorry;
I beg your pardon;smalltalk_dialog_sorry;i
pardon;smalltalk_dialog_sorry;
I said sorry;smalltalk_dialog_sorry;i
I am really sorry;smalltalk_dialog_sorry;i
forgive me;smalltalk_dialog_sorry;me
sorry about that;smalltalk_dialog_sorry;that
sorry about this;smalltalk_dialog_sorry;this
really sorry;smalltalk_dialog_sorry;
very sorry;smalltalk_dialog_sorry;
ok sorry;smalltalk_dialog_sorry;
I want to say sorry;smalltalk_dialog_sorry;i
alright I'm sorry;smalltalk_dialog_sorry;i
okay I'm sorry;smalltalk_dialog_sorry;
what exactly do you mean;smalltalk_dialog_what_do_you_mean;you
what do you mean;smalltalk_dialog_what_do_you_mean;you
is that what you mean;smalltalk_dialog_what_do_you_mean;you
what do you mean exactly;smalltalk_dialog_what_do_you_mean;you
but what do you mean;smalltalk_dialog_what_do_you_mean;you
that was wrong;smalltalk_dialog_wrong;
that's not what I asked;smalltalk_dialog_wrong;i
that's wrong;smalltalk_dialog_wrong;
wrong;smalltalk_dialog_wrong;
it is not right;smalltalk_dialog_wrong;it
that's not right;smalltalk_dialog_wrong;that
it's wrong;smalltalk_dialog_wrong;it
that is incorrect;smalltalk_dialog_wrong;that
incorrect;smalltalk_dialog_wrong;
not correct;smalltalk_dialog_wrong;
you are wrong;smalltalk_dialog_wrong;you
not right;smalltalk_dialog_wrong;
huh;smalltalk_emotions_ha_ha;
lol;smalltalk_emotions_ha_ha;
xd;smalltalk_emotions_ha_ha;
ha ha;smalltalk_emotions_ha_ha;
ahahah;smalltalk_emotions_ha_ha;
ahah lol;smalltalk_emotions_ha_ha;
laughing out loud;smalltalk_emotions_ha_ha;
LMAO;smalltalk_emotions_ha_ha;
that's funny;smalltalk_emotions_ha_ha;that
ah;smalltalk_emotions_ha_ha;
ah ah ah;smalltalk_emotions_ha_ha;
ahah;smalltalk_emotions_ha_ha;
ahaha;smalltalk_emotions_ha_ha;
ahahaha;smalltalk_emotions_ha_ha;
ha;smalltalk_emotions_ha_ha;
ha ha ha;smalltalk_emotions_ha_ha;
ha ha ha ha;smalltalk_emotions_ha_ha;
hah;smalltalk_emotions_ha_ha;
haha;smalltalk_emotions_ha_ha;
haha funny;smalltalk_emotions_ha_ha;
haha haha haha;smalltalk_emotions_ha_ha;
haha that's funny;smalltalk_emotions_ha_ha;that
haha very funny;smalltalk_emotions_ha_ha;
hahaha;smalltalk_emotions_ha_ha;
hahaha funny;smalltalk_emotions_ha_ha;
hahaha very funny;smalltalk_emotions_ha_ha;
he;smalltalk_emotions_ha_ha;
hehe;smalltalk_emotions_ha_ha;
hehehe;smalltalk_emotions_ha_ha;
lmao;smalltalk_emotions_ha_ha;
wow;smalltalk_emotions_wow;
wow wow;smalltalk_emotions_wow;
wow wow wow;smalltalk_emotions_wow;
wooow;smalltalk_emotions_wow;
woah;smalltalk_emotions_wow;
okay see you later;smalltalk_greetings_bye;you
hope to see you later;smalltalk_greetings_bye;you
bye for now;smalltalk_greetings_bye;
till next time;smalltalk_greetings_bye;
I must go;smalltalk_greetings_bye;i
bye;smalltalk_greetings_bye;
goodbye;smalltalk_greetings_bye;
see you;smalltalk_greetings_bye;you
see you soon;smalltalk_greetings_bye;you
bye-bye;smalltalk_greetings_bye;
good bye;smalltalk_greetings_bye;
bye bye see you;smalltalk_greetings_bye;you
bye bye see you soon;smalltalk_greetings_bye;you
bye bye take care;smalltalk_greetings_bye;
I said bye;smalltalk_greetings_bye;i
never mind bye;smalltalk_greetings_bye;
now bye;smalltalk_greetings_bye;
that's all goodbye;smalltalk_greetings_bye;that
that's it goodbye;smalltalk_greetings_bye;that
leave me alone;smalltalk_greetings_bye;me
go to bed;smalltalk_greetings_bye;
goodbye for now;smalltalk_greetings_bye;
talk to you later;smalltalk_greetings_bye;you
you can go now;smalltalk_greetings_bye;you
get lost;smalltalk_greetings_bye;
goodbye see you later;smalltalk_greetings_bye;you
alright bye;smalltalk_greetings_bye;
see ya;smalltalk_greetings_bye;
thanks bye bye;smalltalk_greetings_bye;
okay bye;smalltalk_greetings_bye;
okay thank you bye;smalltalk_greetings_bye;you
see you tomorrow;smalltalk_greetings_bye;you
ok bye;smalltalk_greetings_bye;
good evening;smalltalk_greetings_goodevening;
good evening to you;smalltalk_greetings_goodevening;you
hey good evening;smalltalk_greetings_goodevening;
hello good evening;smalltalk_greetings_goodevening;
evening;smalltalk_greetings_goodevening;
good evening there;smalltalk_greetings_goodevening;there
good morning;smalltalk_greetings_goodmorning;
good morning to you;smalltalk_greetings_goodmorning;you
hello good morning;smalltalk_greetings_goodmorning;
have a nice morning;smalltalk_greetings_goodmorning;
have a great morning;smalltalk_greetings_goodmorning;
morning;smalltalk_greetings_goodmorning;
good morning there;smalltalk_greetings_goodmorning;there
top of the morning to you;smalltalk_greetings_goodmorning;you
a good morning;smalltalk_greetings_goodmorning;
hi good morning;smalltalk_greetings_goodmorning;
and a good morning to you;smalltalk_greetings_goodmorning;you
good morning too;smalltalk_greetings_goodmorning;you
sweet dreams;smalltalk_greetings_goodnight;
good night;smalltalk_greetings_goodnight;
have a good night;smalltalk_greetings_goodnight;
good night to you;smalltalk_greetings_goodnight;you
thank you good night;smalltalk_greetings_goodnight;you
bye good night;smalltalk_greetings_goodnight;
good night bye;smalltalk_greetings_goodnight;
good good night;smalltalk_greetings_goodnight;
good night for now;smalltalk_greetings_goodnight;
goodnight;smalltalk_greetings_goodnight;
night;smalltalk_greetings_goodnight;
thanks goodnight;smalltalk_greetings_goodnight;
good night see you tomorrow;smalltalk_greetings_goodnight;you
alright goodnight;smalltalk_greetings_goodnight;
good tonight;smalltalk_greetings_goodnight;
okay have a good night;smalltalk_greetings_goodnight;
long time no see;smalltalk_greetings_hello;
hello;smalltalk_greetings_hello;
hi;smalltalk_greetings_hello;
howdy;smalltalk_greetings_hello;
hey there;smalltalk_greetings_hello;there
hey;smalltalk_greetings_hello;
greetings;smalltalk_greetings_hello;
I greet you;smalltalk_greetings_hello;you
hi there;smalltalk_greetings_hello;there
hello there;smalltalk_greetings_hello;there
lovely day isn't it;smalltalk_greetings_hello;it
hello again;smalltalk_greetings_hello;
just going to say hi;smalltalk_greetings_hello;
a good day;smalltalk_greetings_hello;
afternoon;smalltalk_greetings_hello;
hello hi;smalltalk_greetings_hello;
heya;smalltalk_greetings_hello;
how is your morning so far;smalltalk_greetings_how_are_you;your
how are you getting on;smalltalk_greetings_how_are_you;you
how's your day going;smalltalk_greetings_how_are_you;your
how are you;smalltalk_greetings_how_are_you;you
is everything all right;smalltalk_greetings_how_are_you;
how are you doing;smalltalk_greetings_how_are_you;you
how are the things going;smalltalk_greetings_how_are_you;thing
are you alright;smalltalk_greetings_how_are_you;you
are you okay;smalltalk_greetings_how_are_you;you
how are you feeling;smalltalk_greetings_how_are_you;you
how are you going;smalltalk_greetings_how_are_you;you
is everything okay;smalltalk_greetings_how_are_you;
how are you today;smalltalk_greetings_how_are_you;you
how do you do;smalltalk_greetings_how_are_you;you
how do you feel;smalltalk_greetings_how_are_you;you
how have you been;smalltalk_greetings_how_are_you;you
how is it;smalltalk_greetings_how_are_you;it
how is it going;smalltalk_greetings_how_are_you;it
how is your day;smalltalk_greetings_how_are_you;your
how is your day going;smalltalk_greetings_how_are_you;your
how is your evening;smalltalk_greetings_how_are_you;your
how was your day;smalltalk_greetings_how_are_you;your
are you having a good day;smalltalk_greetings_how_are_you;you
hope your day is going well;smalltalk_greetings_how_are_you;your
hope you re having a pleasant evening;smalltalk_greetings_how_are_you;you're
how's life;smalltalk_greetings_how_are_you;
I'm fine and you;smalltalk_greetings_how_are_you;you
how is your life;smalltalk_greetings_how_are_you;your
how has your day been;smalltalk_greetings_how_are_you;your
how is your morning going;smalltalk_greetings_how_are_you;your
how has your day been going;smalltalk_greetings_how_are_you;your
how about you;smalltalk_greetings_how_are_you;you
how is your day being;smalltalk_greetings_how_are_you;your
how is your day going on;smalltalk_greetings_how_are_you;your
how your day is going;smalltalk_greetings_how_are_you;your
what was your day like;smalltalk_greetings_how_are_you;your
what about your day;smalltalk_greetings_how_are_you;your
how's your day;smalltalk_greetings_how_are_you;your
how are you doing this morning;smalltalk_greetings_how_are_you;you
nice to meet you;smalltalk_greetings_nice_to_meet_you;you
it was nice meeting you;smalltalk_greetings_nice_to_meet_you;you
it was very nice to meet you;smalltalk_greetings_nice_to_meet_you;you
good to know each other;smalltalk_greetings_nice_to_meet_you;
glad to meet you;smalltalk_greetings_nice_to_meet_you;you
nice meeting you;smalltalk_greetings_nice_to_meet_you;you
nice to meet you too;smalltalk_greetings_nice_to_meet_you;you
pleased to meet you;smalltalk_greetings_nice_to_meet_you;you
pleasure to meet you;smalltalk_greetings_nice_to_meet_you;you
pleasure to meet you too;smalltalk_greetings_nice_to_meet_you;you
it's nice to see you;smalltalk_greetings_nice_to_see_you;you
lovely to see you;smalltalk_greetings_nice_to_see_you;you
I'm glad to see you;smalltalk_greetings_nice_to_see_you;you
great to see you;smalltalk_greetings_nice_to_see_you;you
it's good to see you;smalltalk_greetings_nice_to_see_you;you
glad to see you;smalltalk_greetings_nice_to_see_you;you
how good it is to see you;smalltalk_greetings_nice_to_see_you;you
always a pleasure to see you;smalltalk_greetings_nice_to_see_you;you
nice to see you;smalltalk_greetings_nice_to_see_you;you
good to see you;smalltalk_greetings_nice_to_see_you;you
great to see you again;smalltalk_greetings_nice_to_see_you;you
great to see you too;smalltalk_greetings_nice_to_see_you;you
I am glad to see you again;smalltalk_greetings_nice_to_see_you;you
nice to see you again;smalltalk_greetings_nice_to_see_you;you
glad to see you too;smalltalk_greetings_nice_to_see_you;you
good to see you again;smalltalk_greetings_nice_to_see_you;you
it's good to see you too;smalltalk_greetings_nice_to_see_you;you
it's been so nice to talk to you;smalltalk_greetings_nice_to_talk_to_you;you
it's been a pleasure talking to you;smalltalk_greetings_nice_to_talk_to_you;you
nice to talk to you;smalltalk_greetings_nice_to_talk_to_you;you
it's nice to talk to you;smalltalk_greetings_nice_to_talk_to_you;you
nice talking to you;smalltalk_greetings_nice_to_talk_to_you;you
it is nice talking to you;smalltalk_greetings_nice_to_talk_to_you;you
how nice it is to talk to you;smalltalk_greetings_nice_to_talk_to_you;you
what is on your mind;smalltalk_greetings_whatsup;your
what's happened;smalltalk_greetings_whatsup;
what is up;smalltalk_greetings_whatsup;
what's up;smalltalk_greetings_whatsup;
whazzup;smalltalk_greetings_whatsup;
good what's up;smalltalk_greetings_whatsup;
I said what's up;smalltalk_greetings_whatsup;i
then what's up;smalltalk_greetings_whatsup;
what's shaking;smalltalk_greetings_whatsup;
wassup;smalltalk_greetings_whatsup;
what is going on;smalltalk_greetings_whatsup;
what is happening;smalltalk_greetings_whatsup;
what's cracking;smalltalk_greetings_whatsup;
what's cooking;smalltalk_greetings_whatsup;
hey what's up;smalltalk_greetings_whatsup;
what's up today;smalltalk_greetings_whatsup;
I'm being mad;smalltalk_user_angry;i
I'm enraged;smalltalk_user_angry;i
I'm angry;smalltalk_user_angry;i
I'm furious;smalltalk_user_angry;i
I am angry with you;smalltalk_user_angry;i
I am mad;smalltalk_user_angry;i
I am mad at you;smalltalk_user_angry;i
I am back;smalltalk_user_back;i
I'm here again;smalltalk_user_back;i
here I am again;smalltalk_user_back;i
I got back;smalltalk_user_back;i
I came back;smalltalk_user_back;i
I have returned;smalltalk_user_back;i
that was boring;smalltalk_user_bored;that
I'm bored;smalltalk_user_bored;i
bored;smalltalk_user_bored;
boring;smalltalk_user_bored;
I am getting bored;smalltalk_user_bored;i
this is boring;smalltalk_user_bored;this
very boring;smalltalk_user_bored;
it bores me;smalltalk_user_bored;me
I'm overloaded;smalltalk_user_busy;i
I have no time;smalltalk_user_busy;i
I'm busy;smalltalk_user_busy;i
I'm swamped;smalltalk_user_busy;i
I got things to do;smalltalk_user_busy;i
how busy I am;smalltalk_user_busy;i
I got work to do;smalltalk_user_busy;i
I'm working;smalltalk_user_busy;i
I don't have time for this;smalltalk_user_busy;i
I'm insomnious;smalltalk_user_can_not_sleep;i
I'm sleepless;smalltalk_user_can_not_sleep;i
I can't get any sleep;smalltalk_user_can_not_sleep;i
I can't sleep;smalltalk_user_can_not_sleep;i
I can't fall asleep;smalltalk_user_can_not_sleep;i
I can't get to sleep;smalltalk_user_can_not_sleep;i
I can't get no sleep;smalltalk_user_can_not_sleep;i
I'm insomniac;smalltalk_user_can_not_sleep;i
bad time for talking;smalltalk_user_does_not_want_to_talk;
I don't want to talk;smalltalk_user_does_not_want_to_talk;i
let's not talk;smalltalk_user_does_not_want_to_talk;
I'm not talking to you anymore;smalltalk_user_does_not_want_to_talk;i
I don't want to talk to you;smalltalk_user_does_not_want_to_talk;i
let's stop talking for a minute;smalltalk_user_does_not_want_to_talk;
I'm not in the mood for chatting;smalltalk_user_does_not_want_to_talk;i
I am excited;smalltalk_user_excited;i
I'm really excited;smalltalk_user_excited;i
how excited I am;smalltalk_user_excited;i
I'm thrilled;smalltalk_user_excited;i
I'm excited about working with you;smalltalk_user_excited;i
I'm excited to start our friendship;smalltalk_user_excited;i
let's go to bed;smalltalk_user_going_to_bed;
I'd like to go to bed;smalltalk_user_going_to_bed;i
is it time for bed yet;smalltalk_user_going_to_bed;it
it's time to go to bed;smalltalk_user_going_to_bed;it
time for us to go to bed;smalltalk_user_going_to_bed;us
I'm going to bed;smalltalk_user_going_to_bed;i
I'm a little tired and I want to go to bed;smalltalk_user_going_to_bed;i
it's bed time;smalltalk_user_going_to_bed;it
going to bed now;smalltalk_user_going_to_bed;
I am good;smalltalk_user_good;i
I'm doing just great;smalltalk_user_good;i
I'm doing fine;smalltalk_user_good;i
I'm good;smalltalk_user_good;i
I'm doing good;smalltalk_user_good;i
I'm great thanks;smalltalk_user_good;i
I am happy;smalltalk_user_happy;i
I'm happy to see you;smalltalk_user_happy;i
happy;smalltalk_user_happy;
if you're happy then I'm happy;smalltalk_user_happy;i
I'm happy for you;smalltalk_user_happy;i
I'm happy to help;smalltalk_user_happy;i
it is my birthday;smalltalk_user_has_birthday;my
I'm celebrating my birthday today;smalltalk_user_has_birthday;my
today is my birthday;smalltalk_user_has_birthday;my
it's my birthday today;smalltalk_user_has_birthday;my
I was born today;smalltalk_user_has_birthday;i
it's my b-day;smalltalk_user_has_birthday;my
I am here;smalltalk_user_here;i
here I am;smalltalk_user_here;i
I'm right here;smalltalk_user_here;i
I'm already here;smalltalk_user_here;i
can you tell if I'm here or not;smalltalk_user_here;i
I am joking;smalltalk_user_joking;i
I'm kidding;smalltalk_user_joking;i
I'm just being funny;smalltalk_user_joking;i
it was a joke;smalltalk_user_joking;it
I was just joking;smalltalk_user_joking;i
it's a joke;smalltalk_user_joking;it
joking;smalltalk_user_joking;
just kidding;smalltalk_user_joking;
kidding;smalltalk_user_joking;
I'm just playing with you;smalltalk_user_joking;i
I like you the way you are;smalltalk_user_likes_agent;i
I like you;smalltalk_user_likes_agent;i
I like you a lot;smalltalk_user_likes_agent;i
I think I like you;smalltalk_user_likes_agent;i
I liked you;smalltalk_user_likes_agent;i
like you a lot;smalltalk_user_likes_agent;you
you are special;smalltalk_user_likes_agent;you
I like you too;smalltalk_user_likes_agent;i
I really like you;smalltalk_user_likes_agent;i
but I like you;smalltalk_user_likes_agent;i
I like u;smalltalk_user_likes_agent;i
just like you;smalltalk_user_likes_agent;you
I like you very much;smalltalk_user_likes_agent;i
I like you so much;smalltalk_user_likes_agent;i
yeah I like you;smalltalk_user_likes_agent;i
you're special;smalltalk_user_likes_agent;you're
yes I like you;smalltalk_user_likes_agent;i
okay I like you;smalltalk_user_likes_agent;i
you are special to me;smalltalk_user_likes_agent;me
you are very special;smalltalk_user_likes_agent;you
you are so sweet;smalltalk_user_likes_agent;you
you know I like you;smalltalk_user_likes_agent;you
that's why I like you;smalltalk_user_likes_agent;i
I like you baby;smalltalk_user_likes_agent;i
you are very special to me;smalltalk_user_likes_agent;me
I just like you;smalltalk_user_likes_agent;i
hey I like you;smalltalk_user_likes_agent;i
