Utterances;Focusarea
just talk to me;me
have a chat with me;me
please speak to me;me
let me know;me
are you there?;you
are you near me?;me
are you here?;you
are you still there?;you
are you still here?;you
it was stupid;it
it's a bad thing;it
no it's not good;it
it's just lame;it
i don't think it's an okay idea;i
that's awful;that
that's horrible;that
that's a bad thing;that
this is not a good thing;this
it's not a good thing;it
it's pretty bad;it
it's a shame;it
so it wasn't right;it
it's not great;it
happy to hear that;that
it's all right;it
it's okay;it
that's a wonderful situation;that
it's not a bad thing;it
this is very good;this
i'm glad to hear that;i
it's wonderful;it
it's not a problem;it
don't worry it's not a big problem;it
it's not a problem there's no problem;it
don't worry it's not a problem;it
no worries there's no problem;there
don't worry there is no problem;there
i appreciate it;i
thanks for it;it
thank you very much;you
thanks for your assistance;your
thank you for your assistance;your
thank you for helping;you
i'm grateful;i
thank you it's going to be all right;you
so thank you;you
i appreciate your continued support;your
again i really appreciate you;i
all right - thank you;you
that's nice of you;you
thanks for that;that
i'm pleased;i
whatever you want;you
don't go there;there
don't worry about it;it
forget about this;this
can you cancel?;you
can you cancel it?;it
can you cancel that?;that
cancel this entire thing;this
cancel the entire thing;thing
can you stop it?;it
can you cancel this?;this
cancel this;this
i'd like to cancel;i
but can you still cancel?;you
but can you cancel it?;you
don't do that;that
i don't want it;it
i don't want that;that
i disagree with you;i
i don't agree;i
i disagree;i
but i disagree;i
i don't think so;i
but i don't think so;i
i said no;i
i don't want to do it;i
i don't want to;i
no i wouldn't;i
can you wait?;you
don't go too fast;i
wanna hug you;you
do you want a hug?;you
can i hug you?;i
i'd like to hug you;i
could you please hug me?;you
could you hug me;you
could you hug me?;you
can you give me a hug?;you
i'd like a hug;i
i want a hug;i
i don't care about it;i
i don't care;i
that shouldn't concern me;me
i shouldn't care;i
i shouldn't care about this;i
it doesn't bother me;me
i don't care a lot;i
i don't care at all;i
you don't care?;you
the fact that i'm not too concerned;i
please excuse me;me
i'm sorry;i
i apologize to you;i
i apologize;i
i'm so sorry;i
oh my apologies;my
you should excuse me;me
i'd like to give you an apology;i
i beg your forgiveness;your
i'm asking for your pardon;your
i beg your pardon;your
i said i'm sorry;i
you're supposed to forgive me;you're
please forgive me;me
i'd like to say sorry;i
i want to say i'm sorry;i
i just want to say i'm sorry;i
i just want to say sorry;i
i want to say sorry;i
ok i'm sorry;i
what exactly are you referring to;you
is that what you mean?;you
what exactly are you saying?;you
but what do you mean?;you
it wasn't right;it
so it's not what i asked;i
that's not what i asked;that
that's the wrong thing;that
there's a mistake;there
it's just wrong;it
it's not correct;it
that's not correct;that
i have to go;i
that's all for goodbye;that
keep me alone;me
let me be alone;me
just leave me alone;me
i hope you have a good night;you
nice day don't you think?;you
a great day isn't it?;it
it's a lovely day doesn't it?;it
how's your morning going?;your
how is your morning so far?;your
what's your progress?;your
how's this going?;this
how're you doing?;you
how are you?;you
how are things going?;thing
how are the things going?;thing
are you okay?;you
are you fine?;you
how's your mood?;your
what are you feeling like?;you
how are you today?;you
how do you do this?;you
how do you do it?;you
how it's going?;it
how is this going?;this
how's it going?;it
how's your night?;your
how's your evening?;your
how was your day?;your
are you having a good day?;you
hope your day goes well;your
i'm fine and you're fine;we
how's your life?;your
how is your life?;your
how's your day going?;your
how is your morning going?;your
what's your day like?;your
how's your day gone?;your
what about you?;you
how about you?;you
how's your day?;your
nice to see you;you
i'm glad to meet you;you
nice to see you too;you
happy to see you;you
happy to meet you;you
i'm happy to see you;you
it's an honour to meet you;you
wonderful to meet you;you
happy to see you;you
what a pleasure to meet you;yuo
how nice to see you;you
glad to see you again;you
it's nice talking to you;you
it was nice to talk with you;you
it's really nice to talk to you;you
i'm happy to talk to you;you
what a pleasure to chat with you;you
how nice to talk to you;you
what's your thought?;your
i asked what's going on;i
i said what's going on?;i
i said what's going on;i
i asked what's up?;i
i said what's up;i
i'm mad about this;i
i'm angry and angry;i
i am angry;i
i'm mad;i
i'm infuriated;i
i'm enraged;i
i'm upset;i
i'm angry;i
i'm furious;i
i'm mad at you;i
i'm angry at you;i
i'm angry with you;i
i am angry with you;i
i'm crazy;i
i'm so mad;i
i am mad at you;i
i'm back;i
i'm here again;i
here i am again;i
now here i am again;i
i got back there;i
i've come back;i
i have come back;i
i got back;i
i came back;i
i'm bored;i
i get bored;i
i'm getting bored;i
i am getting bored;i
this is a boring thing;this
it's boring;it
it's a bit boring;it
i'm overwhelmed;i
i'm overloaded;i
i don't have time;i
i'm busy;i
i'm flooded;i
i'm so swamped;i
i'm being swamped;i
i'm swamped;i
i have things to do;i
i have something to do;i
i have to do some work;i
i have a job to do;i
i have some work to do;i
i work;i
i'm a worker;i
i'm working;i
i don't have time to do this;i
i don't have time for it;i
i don't have time for this;i
i'm an insomniac;i
i'm insomniac;i
i'm insomnious;i
i'm a sleepless mess;i
i'm sleepy;i
i'm sleepless;i
i can't sleep;i
i can't get any sleep;i
i'm not able to sleep;i
i can't fall asleep;i
i can't go to bed;i
i can't get to sleep;i
i can't have sleep;i
i am an insomniac;i
i am a insomniac;i
i don't want to talk about that;i
i don't want to talk;i
i'm not going to talk to you;i
i'm not talking to you;i
i'm not going to talk to you anymore;i
i'm not talking to you anymore;i
i don't want to talk to you;i
i'm not happy to talk;i
i'm not into chat;i
i'm not in a mood to talk;i
i'm not in the mood to talk;i
i'm not in the mood for talk;i
i'm not in the mood to chat;i
i'm not in the mood for chatting;i
i'm excited;i
i am excited;i
i'm very excited;i
i'm really excited;i
how excited i am;i
i'm very excited about this;i
i'm so excited;i
i'm delighted;i
i'm really thrilled;i
i'm thrilled;i
i'm excited to work with you;i
i'm excited about working with you;i
i'm excited about starting our friendship;i
i'm excited to start our friendship;i
i want to go to sleep;i
i want to go to bed;i
i'd like to go to sleep;i
i'd like to go to bed;i
i'm going to bed;i
i'm tired and i want to go to bed;i
i'm a little tired i want to go to bed;i
i'm a little tired and i want to go to bed;i
i'm good;i
i do great;i
i'm doing pretty good;i
i'm doing so well;i
i'm doing great;i
i'm ok;i
i'm feeling good;i
i'm doing okay;i
i'm doing well;i
i'm doing fine;i
i do it;i
i'm doing good;i
i'm great thanks;i
i'm glad;i
i'm happy;i
i am happy;i
if you are happy then so is i;i
if you are happy then i'm happy;i
if you're happy then i'm happy;i
i'm happy for you;i
i'm happy to help;i
i have a birthday today;i
i celebrate my birthday today;i
i'm celebrating my birthday today;i
today's my birthday;my
today it's my birthday;my
i'm having my birthday today;my
my birthday;my
i have a birthday;i
i'm here now;i
i'm here;i
i am here;i
here i am;i
i'm already here;i
can you tell me if i'm here?;you
can you tell if i'm here?;you
can you tell me if i'm here or not?;i
can you tell if i'm here or not?;i
i'm just kidding;i
i'm just saying;i
i'm just joking;i
i'm joking;i
i am kidding;i
i'm kidding;i
i just'm trying to be funny;i
i'm just funny;i
i'm just having fun;i
i just thought it was a joke;it
i just joked;i
i was just joking;i
i'm just making a joke;i
i'm doing it as a joke;it
i'm just playing with you;i
i like you;i
i think i like you;i
i like you too;i
but i like you;i
i like you very much;i
you're special for me;you're
you know i like you;you
you're special to me;you're
but i really like you;you
that's what i love about you;you
that's what i like about you;you
i like you as my friend;i
i like you as a friend;i
i told you i like you;i
i said i like you;i
i start liking you;i
i start to like you;i
i'm starting to like you;i
you're great and i like you;you're
but i like u;i
of course i like you;i
but i like you very much;i
but i like you so much;i
you're funny and i like you;you're
i 'd like to like you;i
i kind of like you;i
you're a special person to me;you're
you're my special guy;you're
i like you like that;i
i like it about you;you
i like that about you;you
but i like you just like you are;i
but i like you just how you are;i
but i like you just the way you are;i
you're so special for me;me
you are so special for me;me
because i like you;i
now i like you;i
i like you so much;i
i really like you;i
i'm lonely;i
i am very lonely;i
i'm very lonely;i
i'm so alone;i
i'm so lonely;i
i feel alone;i
i feel lonely;i
i'm feeling lonely;i
what do i look like?;i
how should i look?;i
how do i look?;i
do i look good?;i
you know what i look like?;i
don't you know what i look like?;i
do you know what i look like?;you
can you see how i look?;you
can you see what i'm like?;you
can you see what i look like?;yuo
what do you think i look like?;you
i love you;i
i also love you;i
i love you too;i
i think i'm in love with you;i
i think i love you;i
you know i love you;i
i miss you;i
i miss you dearly;i
i missed you;i
what should i do to deal with it?;i
what should i do?;i
if you have any suggestions;you
what are your suggestions?;your
what would you recommend?;you
what do you recommend?;you
give me advice;me
give me good advice;me
give me some advice;me
give me some wise advice;me
give me a good advice;me
i need advice on what to do;mi
i need advice on this;i
i need help;i
i need advice;i
give me some tips?;me
you have a suggestion for me?;you
what advice do you have for me?;you
you have advice for me?;you
do you have advice for me?;you
do you have any advice for me?;yuo
tell me the best way;me
please advise me;me
i'd like your advice;your
can i ask your advice?;your
can i ask for your advice?;your
can you give me a little advice?;you
can you help me out?;you
can you give me some advice?;you
could you advise me?;you
can you advise me?;you
please help me;me
can you give me a suggestion?;you
can you give me advice?;you
could you offer advice?;you
can you provide any advice;you
can you offer advice?;you
can you offer any advice?;you
give me some advice about what to do;me
give me some advice about this;me
give me some advice about it;me
give me some advice about ;me
please help me with advice;me
i can use some advice;i
i could use some advice;i
i need a piece of advice from you;you
i need advice from you;you
i need an advice from you;you
i would like to get your advice;your
i ask you for your advice;your
i'm seeking your advice;your
i am seeking your advice;your
i seek your advice;your
what can you recommend?;you
what suggestions do you have for other people?;you
what suggestions would you give?;you
what advice would you give?;you
what do you think?;you
what would you suggest?;you
what do you suggest?;you
what's your advice?;your
what is your advice?;your
i'm sad;i
i grieve;i
i'm grieving;i
i'm depressed;i
i feel sad;i
i'm feeling sad;i
i'm frustrated;i
i'm upset;i
i am upset;i
i'm just not happy;i
i am unhappy;i
i'm unhappy;i
i have a bad day;i
i'm having a bad day;i
i want to cry;i
i'm not happy about it;i
i'm not happy;i
i'm sleepy;i
i want to sleep;i
i am going to sleep;i
i'm trying to fall asleep;i
i'm falling asleep;i
i sleep;i
i'm sleeping;i
i test you;i
i'm trying to test you;i
i'm testing you;i
can i test you?;i
i want to test you;i
i just'm trying to test it on you;i
lets try it out;it
i'm exhausted;i
i'm depleted;i
i'm drained;i
i'm too busy;i
i've been so overworked;i
i'm overworked;i
i've overworked;i
i'm tired;i
i am tired;i
i get tired;i
i become weary;i
i get weary;i
i grow weary;i
i'm wiped out;i
i'm getting tired;i
i feel tired;i
i'm waiting;i
we wait;we
we're waiting;we
i'll wait;i
i can't wait;i
i can't wait anymore;i
how long do i wait?;i
how long do i have to wait?;i
i'll miss you;i
can i see you again?;i
i just want to talk;i
can i speak?;i
can i start to speak?;i
can i start speaking?;i
can we speak?;we
can we talk?;we
let's talk about it;it
i'd like to talk to you;i
i want to talk to you;i
i have to talk to you;i
i need to talk to you;i
i'd like to talk with you;i
i want to talk with you;i
i want to speak to you;i
i want to speak with you;i
can we chat?;we
i'll come back with you in a minute;i
i'll get back to you;i
i'll be back with you in a minute;i
i'll come back to you in a minute;i
i promise i'll come back;i
i promise to come back;i
i'll be back in a couple of minutes;i
i'll be back in a few minutes;i
